name,compliant,warn,info
(evaporated) cane juice,FALSE,FALSE,
(sweet) sorghum,FALSE,FALSE,
absorbic acid (vitamin C),TRUE,FALSE,
acacia,TRUE,FALSE,
acacia gum,TRUE,FALSE,
acesulfame-K,FALSE,FALSE,
acetic acid,TRUE,FALSE,
added sugar,FALSE,FALSE,
added sulfites,FALSE,FALSE,
agave inulin,TRUE,FALSE,
agave nectar,FALSE,FALSE,
alcohol,FALSE,FALSE,
alpha tocopherol (vitamin E),TRUE,FALSE,
apples,TRUE,FALSE,
arabitol,FALSE,FALSE,
artificial sweeteners,FALSE,FALSE,
aspartame,FALSE,FALSE,
bananas,TRUE,FALSE,
beef,TRUE,FALSE,
beer,FALSE,FALSE,
beet sugar,FALSE,FALSE,
beta-carotene,TRUE,FALSE,
bread,FALSE,FALSE,
brown sugar,FALSE,FALSE,
butternut squash noodles,TRUE,FALSE,
calcium carbonate,TRUE,FALSE,
calcium chloride,TRUE,FALSE,
cane sugar,FALSE,FALSE,
carrageenan,FALSE,FALSE,
chicken,TRUE,FALSE,
"citric acid, sodium citrate",TRUE,FALSE,
coconut nectar,FALSE,FALSE,
coconut sugar,FALSE,FALSE,
coffee,TRUE,FALSE,
confectioner's sugar,FALSE,FALSE,
corn,FALSE,FALSE,
corn starch,FALSE,FALSE,
dairy,FALSE,FALSE,
date sugar,FALSE,FALSE,
date syrup,FALSE,FALSE,
dextrose,FALSE,FALSE,
disaccharide,FALSE,FALSE,
dulcitol,FALSE,FALSE,
eggs,TRUE,FALSE,You may optionally exclude eggs on your Whole30.
equal,FALSE,FALSE,
erythritol,FALSE,FALSE,
ferrous gluconate,TRUE,FALSE,
fish,TRUE,FALSE,
french fries,FALSE,FALSE,
fructose,FALSE,FALSE,
fruit,TRUE,FALSE,
fruit juice,TRUE,TRUE,"Fruit juice as an additive is ok, but avoid drinking fruit juice as a beverage."
galactose,FALSE,FALSE,
gellan gum,TRUE,FALSE,
glucose,FALSE,FALSE,
gluten,FALSE,FALSE,
glycerin (glycerol),FALSE,FALSE,
glycol,FALSE,FALSE,
grains,FALSE,FALSE,
guar gum,TRUE,FALSE,
high fructose corn syrup,FALSE,FALSE,
honey,FALSE,FALSE,
HSH,FALSE,FALSE,
iditol,FALSE,FALSE,
instant ramen,FALSE,FALSE,
inulin,TRUE,FALSE,
isomalt,FALSE,FALSE,
lactic acid,TRUE,FALSE,
lactitol,FALSE,FALSE,
lactose,FALSE,FALSE,
legumes,FALSE,FALSE,
locust bean gum,TRUE,FALSE,
malt syrup,FALSE,FALSE,
maltitol,FALSE,FALSE,
maltose,FALSE,FALSE,
mannitol,FALSE,FALSE,
maple syrup,FALSE,FALSE,
meat,TRUE,FALSE,
milk,FALSE,FALSE,
molasses,FALSE,FALSE,
monk fruit extract,FALSE,FALSE,
monosaccharide,FALSE,FALSE,
monosodium glutamate (MSG),FALSE,FALSE,
natural flavors,TRUE,FALSE,
naturally occuring sulfites,TRUE,FALSE,
niacin (vitamin B3),TRUE,FALSE,
noodles,FALSE,FALSE,
nutra-sweet,FALSE,FALSE,
pasta,FALSE,FALSE,
pasta noodles,FALSE,FALSE,
peanuts,FALSE,FALSE,
pectin (sodium pectinate),TRUE,FALSE,
polyglycitol,FALSE,FALSE,
polysaccharide,FALSE,FALSE,
pork,TRUE,FALSE,
potassium chloride,TRUE,FALSE,
potassium metabisulfite,FALSE,FALSE,
potato chips,FALSE,FALSE,
potato starch,TRUE,FALSE,
raw sugar,FALSE,FALSE,
refiner's syrup,FALSE,FALSE,
ribitol,FALSE,FALSE,
riboflavin (vitamin B2),TRUE,FALSE,
ribose,FALSE,FALSE,
rice malt (extract),FALSE,FALSE,
rice syrup,FALSE,FALSE,
saccharin,FALSE,FALSE,
saccharose,FALSE,FALSE,
salt (sodium chloride),TRUE,FALSE,
sodium bisulfite,FALSE,FALSE,
sodium nitrate,TRUE,FALSE,
sodium nitrite,TRUE,FALSE,
sorbitol,FALSE,FALSE,
soy,FALSE,FALSE,
soy lecithin,FALSE,FALSE,
spaghetti noodles,FALSE,FALSE,
spaghetti sauce,TRUE,TRUE,Check your labels for non-compliant additives.
spaghetti squash,TRUE,FALSE,
sparkling water,TRUE,FALSE,
spinach,TRUE,FALSE,
splenda,FALSE,FALSE,
stevia,FALSE,FALSE,
sucralose,FALSE,FALSE,
sucrose,FALSE,FALSE,
sugar,FALSE,FALSE,
sugar alcohols,FALSE,FALSE,
sulfur dioxide,FALSE,FALSE,
sunflower lecithin,TRUE,FALSE,
sweet potatoes,TRUE,FALSE,
sweet-n-low,FALSE,FALSE,
sweetleaf,FALSE,FALSE,
syrup,FALSE,FALSE,
threitol,FALSE,FALSE,
treacle,FALSE,FALSE,
truvia,FALSE,FALSE,
vegetables,TRUE,FALSE,
wine,FALSE,FALSE,
xanthan gum,TRUE,FALSE,
xylitol,FALSE,FALSE,
zinc gluconate,TRUE,FALSE,
zucchini noodles,TRUE,FALSE,
